x y z intensity
0.434268 0.604951 -0.605830 59.000000
0.447688 0.607679 -0.617171 67.000000
0.440316 0.582377 -0.599969 27.000000
0.437179 0.563531 -0.588993 58.000000
0.448125 0.562946 -0.597073 92.000000
0.456689 0.559158 -0.601958 92.000000
0.470214 0.561115 -0.613225 87.000000
0.486369 0.565665 -0.627763 28.000000
0.502207 0.570042 -0.642554 21.000000
0.551997 0.610565 -0.699225 19.000000
0.566013 0.610925 -0.710941 9.000000
0.588593 0.618942 -0.732170 16.000000
0.650510 0.667401 -0.802683 13.000000
0.706245 0.705802 -0.863390 12.000000
0.778491 0.758804 -0.944297 11.000000
0.865733 0.822828 -1.041994 10.000000
0.962711 0.892044 -1.149949 10.000000
1.114319 1.006470 -1.321106 9.000000
1.119436 0.985344 -1.317537 15.000000
1.124385 0.964319 -1.313816 17.000000
1.117644 0.933701 -1.296707 18.000000
1.124987 0.915161 -1.296113 19.000000
1.126265 0.891965 -1.288650 14.000000
1.130273 0.871172 -1.284492 18.000000
1.133188 0.850780 -1.280658 18.000000
1.085909 0.792899 -1.219121 14.000000
0.649778 0.449284 -0.721682 52.000000
0.642696 0.431689 -0.709282 98.000000
0.650360 0.424601 -0.713979 95.000000
0.661107 0.419331 -0.722047 100.000000
0.659343 0.406121 -0.716491 95.000000
0.666899 0.398665 -0.721051 98.000000
0.667714 0.387544 -0.719034 98.000000
0.659225 0.370911 -0.706446 95.000000
0.656953 0.358068 -0.700558 86.000000
0.657391 0.347201 -0.698324 95.000000
0.664586 0.339550 -0.702623 98.000000
0.674639 0.333482 -0.710552 95.000000
0.674869 0.322504 -0.708125 95.000000
0.681556 0.314562 -0.712542 98.000000
0.678349 0.302076 -0.706564 98.000000
0.684927 0.294025 -0.710860 85.000000
0.678143 0.280296 -0.701282 91.000000
0.670868 0.266907 -0.691864 100.000000
0.680628 0.260082 -0.699430 100.000000
0.686630 0.251860 -0.703760 103.000000
0.682779 0.239871 -0.697348 100.000000
0.688673 0.231541 -0.701557 103.000000
0.660345 0.212095 -0.670947 98.000000
0.669479 0.205009 -0.678495 100.000000
0.678630 0.197733 -0.685995 65.000000
0.677070 0.187429 -0.683260 95.000000
0.693054 0.181641 -0.697632 98.000000
0.684432 0.169477 -0.687799 98.000000
0.686416 0.159978 -0.688069 98.000000
0.663620 0.145132 -0.664113 100.000000
0.679160 0.138834 -0.678509 100.000000
0.673623 0.128115 -0.671865 98.000000
0.689092 0.121274 -0.686161 95.000000
0.686678 0.111223 -0.683167 100.000000
0.695013 0.102775 -0.690354 98.000000
0.692472 0.092712 -0.687238 103.000000
0.693369 0.083172 -0.687567 103.000000
0.694476 0.073572 -0.687537 100.000000
0.695223 0.064001 -0.687717 100.000000
0.692123 0.054183 -0.684595 98.000000
0.674985 0.043488 -0.667070 50.000000
0.679091 0.034361 -0.670581 86.000000
0.679324 0.025035 -0.670756 95.000000
0.686585 0.015844 -0.677897 95.000000
0.700935 0.006523 -0.692007 95.000000
0.704523 -0.003172 -0.695520 100.000000
0.686673 -0.012545 -0.677897 103.000000
0.679470 -0.021771 -0.670727 98.000000
0.700634 -0.032074 -0.691586 98.000000
0.682383 -0.040664 -0.674033 100.000000
0.678246 -0.049808 -0.670464 70.000000
0.684994 -0.059753 -0.677073 95.000000
0.680771 -0.068818 -0.673389 100.000000
0.679746 -0.078223 -0.673389 98.000000
0.678926 -0.087568 -0.673066 100.000000
0.678018 -0.096914 -0.672656 100.000000
0.676816 -0.106289 -0.672480 103.000000
0.672271 -0.114974 -0.668453 98.000000
0.688494 -0.127494 -0.685653 95.000000
0.687059 -0.137005 -0.685264 100.000000
0.685533 -0.146456 -0.684816 100.000000
0.683978 -0.155906 -0.684307 100.000000
0.678555 -0.164543 -0.680518 100.000000
0.680330 -0.174778 -0.683350 95.000000
0.678266 -0.184229 -0.682931 100.000000
0.676442 -0.193530 -0.682184 98.000000
0.667378 -0.200850 -0.674660 63.000000
0.685730 -0.216583 -0.694916 98.000000
0.683350 -0.226044 -0.694214 98.000000
0.680908 -0.235504 -0.693481 95.000000
0.678101 -0.244995 -0.692932 98.000000
0.678915 -0.255636 -0.695507 98.000000
0.679303 -0.266432 -0.698320 98.000000
0.666542 -0.271706 -0.686978 92.000000
0.656837 -0.278143 -0.679292 66.000000
0.673652 -0.296062 -0.699144 98.000000
0.667097 -0.303943 -0.694807 95.000000
0.660513 -0.311670 -0.690385 98.000000
0.660408 -0.322437 -0.692803 98.000000
0.650482 -0.328339 -0.684875 100.000000
0.649931 -0.339181 -0.687441 95.000000
0.643188 -0.346466 -0.682861 95.000000
0.642448 -0.357307 -0.685325 52.000000
0.657488 -0.377291 -0.704708 95.000000
0.641035 -0.378921 -0.689759 100.000000
0.643127 -0.391757 -0.695397 100.000000
0.641958 -0.402752 -0.697563 95.000000
0.643779 -0.415771 -0.703066 98.000000
0.636231 -0.422743 -0.698360 83.000000
0.628253 -0.429753 -0.693917 81.000000
0.629783 -0.442844 -0.699194 58.000000
0.622112 -0.449496 -0.694380 80.000000
0.611034 -0.453974 -0.686420 95.000000
0.603384 -0.460289 -0.681515 95.000000
0.604081 -0.473508 -0.686876 95.000000
0.601739 -0.484493 -0.688789 98.000000
0.602131 -0.497880 -0.693977 91.000000
0.616630 -0.523455 -0.715671 93.000000
0.613756 -0.534752 -0.717362 48.000000
0.610763 -0.546031 -0.719005 89.000000
0.604842 -0.554780 -0.717275 95.000000
0.604416 -0.568631 -0.722076 98.000000
0.598340 -0.577292 -0.720230 98.000000
0.594922 -0.588515 -0.721615 95.000000
0.585516 -0.594580 -0.716739 89.000000
0.581939 -0.605713 -0.718007 95.000000
0.577628 -0.617058 -0.719495 34.000000
0.591846 -0.647893 -0.743282 44.000000
0.576921 -0.648067 -0.731716 95.000000
0.575330 -0.662163 -0.735927 61.000000
0.575398 -0.679440 -0.743550 77.000000
0.567893 -0.687971 -0.741497 86.000000
0.565148 -0.702400 -0.745746 51.000000
0.562164 -0.716902 -0.749960 58.000000
0.549616 -0.719146 -0.741390 31.000000
0.555652 -0.746008 -0.758130 36.000000
0.552085 -0.760644 -0.762084 66.000000
0.429715 0.606970 -0.591141 95.000000
0.440801 0.606797 -0.599238 75.000000
0.435685 0.584546 -0.585402 86.000000
0.444899 0.580902 -0.590110 30.000000
0.443982 0.565083 -0.582388 47.000000
0.442281 0.549616 -0.574804 75.000000
0.460566 0.557953 -0.592279 52.000000
0.476626 0.562893 -0.606609 29.000000
0.510610 0.587821 -0.643302 27.000000
0.558073 0.626231 -0.696053 19.000000
0.579927 0.635229 -0.717329 10.000000
0.592278 0.632245 -0.725527 13.000000
0.712975 0.723731 -0.858322 16.000000
0.790908 0.783244 -0.944758 21.000000
1.056204 0.969052 -1.231834 15.000000
1.122897 1.004413 -1.300107 10.000000
1.130798 0.985837 -1.299809 16.000000
1.144274 0.972105 -1.306059 22.000000
1.137372 0.941300 -1.289121 22.000000
1.147600 0.925030 -1.291873 21.000000
1.145895 0.899369 -1.281236 24.000000
1.155782 0.883029 -1.283723 22.000000
1.155775 0.860105 -1.276675 20.000000
0.662513 0.441316 -0.714988 81.000000
0.667150 0.432010 -0.716327 100.000000
0.671754 0.422671 -0.717633 98.000000
0.669972 0.409372 -0.712155 103.000000
0.671191 0.398104 -0.709955 100.000000
0.672336 0.386829 -0.707680 100.000000
0.663679 0.370188 -0.695237 46.000000
0.671038 0.362635 -0.699592 95.000000
0.677993 0.355056 -0.704177 98.000000
0.675435 0.342212 -0.698255 98.000000
0.682283 0.334492 -0.702750 100.000000
0.679163 0.321877 -0.696961 98.000000
0.682541 0.312461 -0.697931 95.000000
0.692579 0.305971 -0.705656 95.000000
0.692534 0.294905 -0.703064 70.000000
0.682231 0.279778 -0.690183 100.000000
0.692129 0.272961 -0.697733 100.000000
0.681244 0.258301 -0.684967 103.000000
0.680753 0.247596 -0.682119 103.000000
0.683273 0.238213 -0.682909 103.000000
0.685763 0.228831 -0.683668 105.000000
0.674359 0.214977 -0.670580 103.000000
0.690530 0.209883 -0.684913 95.000000
0.682363 0.197358 -0.675156 98.000000
0.688039 0.188896 -0.679081 100.000000
0.690173 0.179427 -0.679472 98.000000
0.691947 0.169958 -0.680103 100.000000
0.693660 0.160489 -0.680674 103.000000
0.695584 0.150930 -0.680885 103.000000
0.693608 0.140684 -0.677877 100.000000
0.688011 0.129835 -0.671315 95.000000
0.689432 0.120392 -0.671611 100.000000
0.690527 0.110978 -0.672115 100.000000
0.698962 0.102552 -0.679223 103.000000
0.692777 0.092033 -0.672677 100.000000
0.690089 0.082135 -0.669504 100.000000
0.687598 0.072305 -0.666035 105.000000
0.695500 0.063556 -0.673151 100.000000
0.692357 0.053804 -0.670064 95.000000
0.678613 0.043403 -0.656234 98.000000
