x y z intensity
0.961269 1.339085 -1.341030 34.000000
0.982618 1.333777 -1.354611 21.000000
0.983138 1.300334 -1.339613 36.000000
0.985425 1.270229 -1.327622 36.000000
1.011278 1.270391 -1.347404 35.000000
1.034839 1.267027 -1.364011 62.000000
1.048749 1.251492 -1.367716 35.000000
1.057541 1.229960 -1.364983 36.000000
1.087694 1.234614 -1.391661 41.000000
1.101439 1.218304 -1.395213 22.000000
1.090673 1.177216 -1.369942 37.000000
1.098706 1.155359 -1.366717 33.000000
1.110626 1.139465 -1.370435 34.000000
1.102170 1.101479 -1.347412 32.000000
1.056910 1.030181 -1.282014 35.000000
0.931277 0.885124 -1.120883 95.000000
0.747549 0.692676 -0.892940 78.000000
0.668591 0.603882 -0.792664 95.000000
0.658161 0.579323 -0.774632 28.000000
0.678606 0.582001 -0.792935 79.000000
0.682049 0.569797 -0.791324 98.000000
0.688296 0.559919 -0.792994 74.000000
0.688597 0.545347 -0.787879 95.000000
0.691704 0.533139 -0.786082 95.000000
0.691185 0.518931 -0.781134 95.000000
0.679067 0.495835 -0.762370 98.000000
0.681180 0.484098 -0.760598 36.000000
0.683178 0.472378 -0.758778 95.000000
0.685542 0.460469 -0.756567 100.000000
0.696594 0.454786 -0.764736 95.000000
0.698353 0.442955 -0.762726 100.000000
0.703091 0.433067 -0.764030 98.000000
0.714086 0.426872 -0.772069 98.000000
0.712017 0.413258 -0.766743 98.000000
0.710180 0.399580 -0.761050 95.000000
0.714637 0.389508 -0.762071 77.000000
0.708951 0.374432 -0.753094 83.000000
0.716456 0.366051 -0.757462 95.000000
0.723526 0.357647 -0.762041 98.000000
0.710905 0.339725 -0.745937 95.000000
0.707896 0.326719 -0.740079 98.000000
0.708130 0.315338 -0.737584 100.000000
0.734801 0.315435 -0.762621 95.000000
0.721571 0.298246 -0.746191 95.000000
0.714474 0.284256 -0.736835 98.000000
0.724431 0.276820 -0.744443 100.000000
0.730602 0.267989 -0.748828 100.000000
0.730336 0.256579 -0.745919 100.000000
0.732993 0.246442 -0.746706 100.000000
