x y z intensity
1.008767 1.405251 -1.407293 34.000000
1.028535 1.396104 -1.417910 18.000000
1.020414 1.349636 -1.390404 35.000000
1.039777 1.340289 -1.400848 35.000000
1.054413 1.324579 -1.404877 37.000000
1.073706 1.314615 -1.415242 56.000000
1.090601 1.301434 -1.422297 35.000000
1.114908 1.296679 -1.439027 33.000000
1.120501 1.271852 -1.433637 29.000000
1.134661 1.255051 -1.437296 10.000000
1.116518 1.205112 -1.402405 14.000000
1.127482 1.185618 -1.402513 16.000000
1.134425 1.163882 -1.399801 15.000000
1.142298 1.141581 -1.396468 18.000000
1.143409 1.114493 -1.386936 16.000000
1.147027 1.090182 -1.380560 13.000000
1.161322 1.076076 -1.387188 14.000000
1.170035 1.056793 -1.387161 10.000000
1.108185 0.975441 -1.304295 21.000000
1.113027 0.954579 -1.300546 23.000000
1.057463 0.883424 -1.226884 27.000000
0.957251 0.778711 -1.102862 62.000000
0.779049 0.616981 -0.891372 29.000000
0.659326 0.508184 -0.749287 55.000000
0.658554 0.494432 -0.744257 79.000000
0.667101 0.487098 -0.748936 90.000000
0.663095 0.471246 -0.740405 29.000000
0.677105 0.468179 -0.752033 91.000000
0.682482 0.458413 -0.753190 98.000000
0.690430 0.450762 -0.757969 98.000000
0.695249 0.440986 -0.759336 100.000000
0.699966 0.431143 -0.760635 98.000000
0.704648 0.421230 -0.761865 95.000000
0.712017 0.413258 -0.766743 98.000000
0.706995 0.397788 -0.757637 70.000000
0.708228 0.386015 -0.755236 45.000000
0.715396 0.377836 -0.759941 69.000000
0.719698 0.367708 -0.760889 73.000000
0.723526 0.357647 -0.762041 77.000000
0.704353 0.336594 -0.739062 76.000000
0.704604 0.325199 -0.736637 95.000000
0.701512 0.312391 -0.730691 95.000000
0.718176 0.308298 -0.745367 78.000000
0.718230 0.296865 -0.742737 94.000000
0.711120 0.282921 -0.733376 100.000000
0.717692 0.274245 -0.737518 98.000000
0.723837 0.265508 -0.741894 98.000000
0.723542 0.254192 -0.738980 100.000000
0.729584 0.245295 -0.743233 100.000000
0.721932 0.231876 -0.733522 100.000000
0.727844 0.222882 -0.737646 98.000000
0.716523 0.208774 -0.724299 77.000000
0.718523 0.198904 -0.725093 95.000000
0.727707 0.190723 -0.732513 95.000000
0.722649 0.178940 -0.726204 98.000000
0.721259 0.168099 -0.722996 95.000000
0.722996 0.158118 -0.723533 98.000000
0.721170 0.147421 -0.720478 98.000000
0.733267 0.139459 -0.731353 95.000000
0.748861 0.131792 -0.745675 95.000000
0.728935 0.118067 -0.725208 98.000000
0.751461 0.111122 -0.746423 95.000000
0.731335 0.097916 -0.725808 100.000000
0.732283 0.087840 -0.726155 98.000000
0.733451 0.077701 -0.726123 98.000000
0.730694 0.067267 -0.722804 98.000000
0.738264 0.057795 -0.730234 95.000000
0.738931 0.047607 -0.730266 45.000000
0.743089 0.037599 -0.733777 89.000000
0.743344 0.027394 -0.733968 98.000000
0.739946 0.017075 -0.730583 85.000000
0.740073 0.006887 -0.730647 98.000000
0.740105 -0.003333 -0.730647 98.000000
0.743599 -0.013586 -0.734096 100.000000
0.739946 -0.023708 -0.730425 95.000000
0.739756 -0.033865 -0.730203 98.000000
0.735694 -0.043841 -0.726692 98.000000
0.727960 -0.053458 -0.719608 60.000000
0.741782 -0.064707 -0.733203 95.000000
0.741048 -0.074912 -0.733012 100.000000
0.732851 -0.084334 -0.725997 95.000000
0.735503 -0.094866 -0.729155 98.000000
0.730988 -0.104485 -0.725208 98.000000
0.729693 -0.114593 -0.725018 98.000000
0.732107 -0.125208 -0.727949 98.000000
0.723621 -0.133999 -0.720635 88.000000
0.729124 -0.145393 -0.727219 95.000000
0.727505 -0.155422 -0.726743 95.000000
0.725854 -0.165452 -0.726204 98.000000
0.723791 -0.175513 -0.725886 100.000000
0.725453 -0.186370 -0.728674 98.000000
0.719792 -0.195508 -0.724744 98.000000
0.714405 -0.204391 -0.720470 95.000000
0.701779 -0.211203 -0.709437 59.000000
0.713159 -0.225247 -0.722712 95.000000
0.717517 -0.237346 -0.728925 98.000000
0.708144 -0.244924 -0.721221 95.000000
0.705225 -0.254795 -0.720649 95.000000
0.705936 -0.265810 -0.723189 95.000000
0.712931 -0.279622 -0.732891 95.000000
0.703386 -0.286725 -0.724951 95.000000
0.693513 -0.293674 -0.717222 62.000000
0.703518 -0.309188 -0.730141 90.000000
0.700121 -0.318990 -0.729203 95.000000
0.693374 -0.327176 -0.724733 98.000000
0.689832 -0.336803 -0.723670 95.000000
0.689511 -0.348039 -0.725968 98.000000
0.685500 -0.357744 -0.725062 95.000000
0.681780 -0.367254 -0.723833 95.000000
0.677607 -0.376862 -0.722830 62.000000
0.692427 -0.397340 -0.742157 95.000000
0.675771 -0.399454 -0.727135 100.000000
0.677637 -0.412778 -0.732711 98.000000
0.676238 -0.424259 -0.734812 95.000000
0.674730 -0.435760 -0.736868 100.000000
0.673114 -0.447250 -0.738844 94.000000
0.661801 -0.452701 -0.730971 95.000000
0.657033 -0.462006 -0.729448 58.000000
0.679214 -0.490754 -0.758115 67.000000
0.670647 -0.498264 -0.753387 95.000000
0.668455 -0.509928 -0.755012 94.000000
0.662730 -0.519480 -0.753563 95.000000
0.654064 -0.526623 -0.748684 95.000000
0.653990 -0.540760 -0.753746 81.000000
0.648032 -0.550112 -0.752118 91.000000
0.642040 -0.559395 -0.750420 38.000000
0.647185 -0.578593 -0.761881 72.000000
0.640911 -0.587863 -0.760048 95.000000
0.634637 -0.597063 -0.758180 95.000000
0.628257 -0.606156 -0.756242 83.000000
0.632610 -0.625796 -0.767329 95.000000
0.638745 -0.648633 -0.781897 95.000000
0.631970 -0.657788 -0.779736 80.000000
0.616657 -0.658751 -0.768109 32.000000
0.622725 -0.681696 -0.782061 34.000000
0.607419 -0.682326 -0.770397 95.000000
0.607991 -0.699753 -0.777704 63.000000
0.597719 -0.705797 -0.772394 84.000000
0.589923 -0.714660 -0.770261 95.000000
0.591715 -0.735419 -0.780803 73.000000
0.588366 -0.750317 -0.784915 61.000000
0.575452 -0.752952 -0.776242 31.000000
0.562597 -0.755333 -0.767606 32.000000
0.556647 -0.766931 -0.768383 42.000000
0.974774 1.376864 -1.340956 37.000000
1.007873 1.387416 -1.370133 36.000000
1.008831 1.353521 -1.355504 35.000000
1.027055 1.341019 -1.362276 36.000000
1.036758 1.319546 -1.359954 65.000000
1.059530 1.316662 -1.377003 48.000000
1.078759 1.306862 -1.387263 38.000000
1.092995 1.290822 -1.391072 71.000000
1.114747 1.283312 -1.404436 51.000000
1.134065 1.272570 -1.414455 36.000000
1.126197 1.233593 -1.393027 29.000000
1.145245 1.222528 -1.402900 23.000000
1.152482 1.200538 -1.400395 27.000000
1.149874 1.167221 -1.384287 21.000000
1.164693 1.153407 -1.391254 22.000000
1.177815 1.136282 -1.394337 26.000000
1.178624 1.109007 -1.384877 20.000000
1.173560 1.076724 -1.368704 20.000000
1.145468 1.024602 -1.326240 13.000000
1.122253 0.978387 -1.289987 22.000000
1.109774 0.942795 -1.266680 32.000000
0.667256 0.509790 -0.741118 98.000000
0.669449 0.498191 -0.739477 86.000000
0.681049 0.493011 -0.747482 95.000000
