x y z intensity
0.432006 0.601800 -0.602675 87.000000
0.445392 0.604563 -0.614006 95.000000
0.430997 0.570052 -0.587271 36.000000
0.439542 0.566577 -0.592177 95.000000
0.431351 0.541873 -0.574722 98.000000
0.437256 0.535364 -0.576343 98.000000
0.440672 0.525862 -0.574698 100.000000
0.441474 0.513450 -0.569816 95.000000
0.441639 0.501293 -0.565060 98.000000
0.454886 0.503151 -0.576213 94.000000
0.467801 0.504920 -0.587582 76.000000
0.465642 0.489652 -0.579228 36.000000
0.473338 0.485629 -0.584066 34.000000
0.476180 0.475882 -0.582134 36.000000
0.494666 0.482157 -0.600022 59.000000
0.507969 0.482795 -0.611391 33.000000
0.507561 0.470304 -0.606277 47.000000
0.518158 0.468008 -0.614314 53.000000
0.523153 0.460487 -0.615733 30.000000
1.135019 0.898898 -1.298665 25.000000
1.156764 0.891590 -1.314597 19.000000
1.180652 0.886415 -1.334298 18.000000
1.184628 0.864981 -1.329950 10.000000
1.193571 0.848243 -1.332729 10.000000
1.205430 0.833484 -1.338821 16.000000
1.205819 0.809932 -1.330748 21.000000
1.208252 0.788833 -1.326445 20.000000
1.207374 0.765820 -1.318668 24.000000
1.209316 0.744876 -1.314132 23.000000
1.211115 0.723990 -1.309456 16.000000
1.218340 0.707130 -1.311982 10.000000
1.235649 0.695234 -1.324159 11.000000
1.243405 0.677709 -1.325935 18.000000
1.240664 0.655257 -1.317915 16.000000
1.228673 0.627753 -1.298996 23.000000
1.218913 0.602523 -1.283799 25.000000
1.117137 0.533853 -1.172187 31.000000
0.698203 0.310917 -0.727244 77.000000
0.701552 0.301162 -0.728114 44.000000
0.738274 0.305150 -0.763464 91.000000
0.734600 0.292263 -0.757591 100.000000
0.737909 0.281971 -0.758293 100.000000
0.750896 0.275434 -0.769629 98.000000
0.747321 0.262546 -0.763266 98.000000
0.750040 0.252173 -0.764072 100.000000
0.749304 0.240667 -0.761334 98.000000
0.748444 0.229190 -0.758523 95.000000
0.747527 0.217808 -0.755639 92.000000
0.742704 0.205598 -0.749495 95.000000
0.748498 0.196172 -0.753442 95.000000
0.771289 0.190985 -0.775083 100.000000
0.745650 0.173784 -0.747446 98.000000
0.757924 0.165757 -0.758487 98.000000
0.752677 0.153862 -0.751955 98.000000
0.757826 0.144130 -0.755848 85.000000
0.769955 0.135505 -0.766680 98.000000
0.764149 0.123771 -0.760242 98.000000
0.779685 0.115295 -0.774458 98.000000
0.770198 0.103119 -0.764377 100.000000
0.771196 0.092508 -0.764743 98.000000
0.779514 0.082581 -0.771725 100.000000
0.776806 0.071512 -0.768418 100.000000
0.780856 0.061130 -0.772363 95.000000
0.770904 0.049667 -0.761864 66.000000
0.767977 0.038859 -0.758353 82.000000
0.775354 0.028574 -0.765575 94.000000
0.768406 0.017732 -0.758683 82.000000
0.772096 0.007185 -0.762261 95.000000
0.775687 -0.003493 -0.765774 98.000000
