x y z intensity
0.959008 1.335934 -1.337875 32.000000
0.982618 1.333777 -1.354611 18.000000
0.955182 1.263358 -1.301520 37.000000
0.938162 1.209306 -1.263947 75.000000
0.889062 1.116861 -1.184566 98.000000
0.767627 0.939861 -1.011802 115.000000
0.620387 0.740319 -0.809072 95.000000
0.593620 0.690402 -0.766193 95.000000
0.600629 0.681759 -0.768481 95.000000
0.615886 0.681232 -0.780154 95.000000
0.612534 0.661138 -0.769375 29.000000
0.625216 0.657454 -0.777727 73.000000
0.631999 0.648410 -0.779842 88.000000
0.628665 0.628271 -0.768548 61.000000
0.637930 0.621797 -0.773799 95.000000
0.644520 0.612579 -0.775743 81.000000
0.645485 0.598104 -0.771026 79.000000
0.629590 0.568655 -0.746425 98.000000
0.644097 0.566944 -0.758080 32.000000
0.630337 0.540603 -0.736534 95.000000
0.639063 0.533885 -0.741450 95.000000
0.650700 0.529335 -0.749680 95.000000
0.650666 0.515306 -0.744479 93.000000
0.653439 0.503646 -0.742597 95.000000
0.655588 0.492205 -0.740904 95.000000
0.658127 0.480545 -0.738861 95.000000
0.654053 0.464820 -0.730309 40.000000
0.664960 0.459781 -0.738544 98.000000
0.664119 0.446079 -0.732925 98.000000
0.675018 0.440700 -0.741050 98.000000
0.682834 0.433112 -0.745776 100.000000
0.687466 0.423444 -0.747052 98.000000
0.695211 0.415589 -0.751662 98.000000
0.693030 0.402237 -0.746296 98.000000
0.691072 0.388829 -0.740573 95.000000
0.663363 0.361561 -0.707393 84.000000
0.663836 0.350605 -0.705170 95.000000
0.671070 0.342863 -0.709478 95.000000
0.681157 0.336704 -0.717417 98.000000
0.684697 0.327200 -0.718437 95.000000
0.684849 0.316082 -0.715984 98.000000
0.684967 0.305023 -0.713458 98.000000
0.691577 0.296880 -0.717761 92.000000
0.694846 0.287200 -0.718555 95.000000
0.690994 0.274914 -0.712620 100.000000
0.697475 0.266520 -0.716743 103.000000
0.700160 0.256823 -0.717627 98.000000
0.703161 0.247032 -0.718164 100.000000
0.702310 0.236125 -0.715449 100.000000
0.697982 0.224183 -0.709188 98.000000
0.700378 0.214471 -0.709810 100.000000
0.695854 0.202752 -0.703406 84.000000
0.697796 0.193166 -0.704177 98.000000
0.699985 0.183457 -0.704608 95.000000
0.698329 0.172918 -0.701764 100.000000
0.700353 0.163227 -0.702040 98.000000
0.702040 0.153535 -0.702561 98.000000
0.700165 0.143127 -0.699493 100.000000
0.712216 0.135455 -0.710357 98.000000
0.710187 0.124986 -0.707166 93.000000
0.711327 0.115215 -0.707690 98.000000
0.723237 0.106948 -0.718388 100.000000
0.717203 0.096024 -0.711782 103.000000
0.714595 0.085718 -0.708615 100.000000
0.719278 0.076199 -0.712092 100.000000
0.720053 0.066287 -0.712278 98.000000
0.727616 0.056962 -0.719702 95.000000
0.699853 0.045090 -0.691646 54.000000
0.700424 0.035441 -0.691646 90.000000
0.711334 0.026215 -0.702362 95.000000
0.700814 0.016172 -0.691947 94.000000
0.732957 0.006821 -0.723621 98.000000
0.704523 -0.003172 -0.695520 95.000000
0.732926 -0.013391 -0.723559 100.000000
0.729274 -0.023367 -0.719890 98.000000
0.732643 -0.033539 -0.723181 95.000000
0.732140 -0.043629 -0.723181 100.000000
0.720858 -0.052937 -0.712588 62.000000
0.731134 -0.063778 -0.722678 95.000000
0.726865 -0.073478 -0.718983 100.000000
0.725771 -0.083519 -0.718983 95.000000
0.721359 -0.093041 -0.715133 100.000000
0.720394 -0.102971 -0.714697 100.000000
0.722642 -0.113486 -0.718013 100.000000
0.718028 -0.122800 -0.713950 98.000000
0.709571 -0.131397 -0.706642 84.000000
0.718607 -0.143296 -0.716730 98.000000
0.720510 -0.153928 -0.719755 98.000000
0.711896 -0.162270 -0.712238 98.000000
0.713352 -0.172981 -0.715417 100.000000
0.711569 -0.182803 -0.714729 98.000000
0.709411 -0.192688 -0.714291 98.000000
0.707503 -0.202416 -0.713509 95.000000
0.698339 -0.210168 -0.705959 66.000000
0.702873 -0.221998 -0.712289 90.000000
0.700433 -0.231695 -0.711569 95.000000
0.701335 -0.242569 -0.714286 98.000000
0.695053 -0.251120 -0.710255 98.000000
0.699181 -0.263267 -0.716269 98.000000
0.706206 -0.276984 -0.725977 98.000000
0.689988 -0.281263 -0.711143 98.000000
0.686845 -0.290851 -0.710325 89.000000
0.686926 -0.301896 -0.712921 95.000000
0.683609 -0.311467 -0.712005 95.000000
0.676943 -0.319423 -0.707559 100.000000
0.676755 -0.330418 -0.709952 98.000000
0.666744 -0.336547 -0.701997 100.000000
0.669332 -0.349306 -0.707962 95.000000
0.662484 -0.356860 -0.703347 98.000000
0.658429 -0.366196 -0.702373 36.000000
0.657488 -0.377291 -0.704708 24.000000
1.057239 -0.644011 -1.143165 32.000000
1.134334 -0.711659 -1.232588 22.000000
1.163755 -0.751587 -1.270928 22.000000
1.161812 -0.771965 -1.275265 16.000000
1.149765 -0.786490 -1.269936 17.000000
1.144509 -0.804784 -1.270651 13.000000
1.154063 -0.833848 -1.288125 10.000000
1.150532 -0.854800 -1.292478 10.000000
1.150570 -0.877707 -1.299555 15.000000
1.143649 -0.896448 -1.300397 17.000000
1.127897 -0.908132 -1.291064 15.000000
1.123595 -0.929059 -1.294981 13.000000
1.116214 -0.947550 -1.295498 13.000000
1.117206 -0.973396 -1.305797 13.000000
1.115063 -0.996883 -1.312679 10.000000
1.112577 -1.020489 -1.319391 10.000000
1.109927 -1.044213 -1.325995 16.000000
1.101489 -1.062742 -1.325878 14.000000
1.087550 -1.075837 -1.319152 13.000000
1.083205 -1.099973 -1.325967 16.000000
1.074349 -1.118240 -1.325552 13.000000
1.074597 -1.147951 -1.338519 10.000000
1.067896 -1.169024 -1.341138 9.000000
1.057266 -1.187646 -1.340942 10.000000
1.052679 -1.211555 -1.346521 11.000000
1.056550 -1.247592 -1.365311 14.000000
1.025635 -1.242500 -1.339168 15.000000
1.036104 -1.287733 -1.367202 13.000000
1.029045 -1.312295 -1.372808 10.000000
1.009978 -1.321507 -1.362384 10.000000
1.004804 -1.349032 -1.370951 9.000000
0.999228 -1.376703 -1.379310 10.000000
0.934065 1.319362 -1.284953 32.000000
0.964252 1.327368 -1.310834 32.000000
0.945925 1.269122 -1.270980 34.000000
0.941861 1.229782 -1.249276 44.000000
0.588920 0.695511 -0.749528 95.000000
0.599082 0.689671 -0.754765 95.000000
0.614392 0.689429 -0.766296 95.000000
0.610994 0.669260 -0.755757 91.000000
0.628967 0.671411 -0.770471 63.000000
0.630553 0.656846 -0.766193 89.000000
0.640606 0.650270 -0.771199 83.000000
0.644644 0.638398 -0.770043 98.000000
0.646429 0.623634 -0.765264 84.000000
0.647413 0.609173 -0.760707 98.000000
0.656635 0.602453 -0.765823 95.000000
0.663017 0.593058 -0.767651 73.000000
0.635184 0.553757 -0.730119 82.000000
0.646889 0.549557 -0.738350 83.000000
0.652828 0.540287 -0.739929 100.000000
0.649916 0.523869 -0.731622 98.000000
0.652688 0.512270 -0.729776 95.000000
0.661298 0.505238 -0.734501 103.000000
0.666447 0.495957 -0.736161 95.000000
0.674996 0.488629 -0.740838 98.000000
0.670883 0.472723 -0.732416 95.000000
0.676254 0.463156 -0.733591 98.000000
0.687280 0.457814 -0.741716 100.000000
0.692090 0.448160 -0.743105 98.000000
0.696866 0.438472 -0.744460 100.000000
0.698415 0.426751 -0.742388 103.000000
0.696639 0.413198 -0.736873 100.000000
0.704352 0.405249 -0.741379 100.000000
0.673344 0.375579 -0.705362 76.000000
0.677521 0.366139 -0.706351 95.000000
0.687772 0.360177 -0.714334 100.000000
0.681992 0.345535 -0.705034 98.000000
0.688875 0.337724 -0.709540 100.000000
0.692415 0.328157 -0.710560 100.000000
0.692529 0.317034 -0.708144 98.000000
0.699271 0.308927 -0.712474 95.000000
0.702620 0.299200 -0.713303 64.000000
0.699118 0.286703 -0.707267 103.000000
0.705701 0.278313 -0.711414 100.000000
0.698275 0.264758 -0.702091 105.000000
0.697857 0.253817 -0.699258 103.000000
0.700441 0.244199 -0.700067 105.000000
0.702993 0.234580 -0.700845 103.000000
0.705483 0.224899 -0.701530 103.000000
0.704410 0.214102 -0.698680 95.000000
0.696289 0.201385 -0.688934 100.000000
0.702009 0.192731 -0.692870 98.000000
0.700684 0.182159 -0.689819 98.000000
0.705997 0.173409 -0.693913 100.000000
0.707745 0.163748 -0.694495 100.000000
0.709708 0.153995 -0.694710 100.000000
0.707764 0.143555 -0.691711 100.000000
0.705743 0.133181 -0.688617 95.000000
0.710754 0.124115 -0.692383 98.000000
0.719002 0.115555 -0.699831 100.000000
0.720359 0.105691 -0.700016 100.000000
0.721345 0.095828 -0.700416 100.000000
0.715118 0.085114 -0.693787 100.000000
0.716248 0.075317 -0.693787 103.000000
0.724181 0.066176 -0.700909 103.000000
0.728230 0.056592 -0.704782 95.000000
0.707337 0.045240 -0.684011 98.000000
0.711502 0.035741 -0.687453 98.000000
0.704554 0.025780 -0.680688 100.000000
0.711895 0.016315 -0.687785 100.000000
0.704794 0.006520 -0.680898 100.000000
0.722804 -0.003190 -0.698237 100.000000
0.704794 -0.012740 -0.680808 100.000000
0.740658 -0.023512 -0.715386 103.000000
0.736875 -0.033470 -0.711694 103.000000
0.736343 -0.043542 -0.711694 100.000000
0.724982 -0.052799 -0.701218 95.000000
0.731786 -0.063314 -0.707725 100.000000
0.727456 -0.072947 -0.704069 103.000000
0.726403 -0.082921 -0.704069 105.000000
0.725535 -0.092833 -0.703729 105.000000
0.728176 -0.103251 -0.706760 103.000000
0.723305 -0.112657 -0.703109 103.000000
0.725810 -0.123111 -0.706013 98.000000
0.731480 -0.134345 -0.712620 95.000000
0.733483 -0.145073 -0.715669 100.000000
0.735439 -0.155835 -0.718650 100.000000
0.729945 -0.165162 -0.714942 98.000000
0.728208 -0.175143 -0.714310 100.000000
0.726408 -0.185092 -0.713647 100.000000
0.720761 -0.194131 -0.709759 100.000000
0.718529 -0.204032 -0.709225 98.000000
0.695374 -0.207672 -0.688019 87.000000
0.713846 -0.223741 -0.707999 103.000000
0.704518 -0.231281 -0.700410 105.000000
0.702028 -0.240930 -0.699662 103.000000
0.702905 -0.251777 -0.702248 100.000000
0.706793 -0.264056 -0.708467 98.000000
0.700675 -0.272399 -0.704102 100.000000
0.700981 -0.283450 -0.706761 100.000000
0.701162 -0.294531 -0.709382 98.000000
0.694538 -0.302780 -0.705087 100.000000
0.691221 -0.312351 -0.704171 103.000000
0.687873 -0.321890 -0.703192 95.000000
0.687705 -0.332966 -0.705542 100.000000
0.684182 -0.342424 -0.704431 100.000000
0.673706 -0.348593 -0.696778 98.000000
0.689608 -0.368289 -0.715843 95.000000
0.730734 -0.402852 -0.762012 70.000000
1.150316 -0.715842 -1.222719 26.000000
1.183326 -0.757892 -1.263903 24.000000
1.175194 -0.774388 -1.261538 22.000000
1.173120 -0.794894 -1.265662 22.000000
1.173206 -0.817943 -1.273550 20.000000
1.170697 -0.838604 -1.277439 10.000000
1.167271 -0.859613 -1.281772 19.000000
1.161407 -0.878056 -1.282124 21.000000
1.163451 -0.903737 -1.292770 18.000000
1.153462 -0.920186 -1.290138 20.000000
1.146210 -0.938904 -1.290671 20.000000
1.138846 -0.957585 -1.291129 19.000000
1.131310 -0.976229 -1.291453 15.000000
1.126376 -0.997286 -1.294963 10.000000
1.124146 -1.020874 -1.301575 12.000000
1.116003 -1.039396 -1.301647 18.000000
1.116012 -1.065770 -1.311232 18.000000
