x y z intensity
0.425220 0.592348 -0.593209 26.000000
0.456872 0.620144 -0.629831 30.000000
0.746749 0.962571 -1.006064 33.000000
0.757260 0.951288 -1.008957 33.000000
0.774915 0.948784 -1.021407 40.000000
0.792717 0.945963 -1.033814 35.000000
0.805627 0.936974 -1.039834 34.000000
0.817663 0.928109 -1.046168 35.000000
0.845884 0.935635 -1.071497 29.000000
0.842558 0.909413 -1.058296 33.000000
0.858037 0.902280 -1.067341 26.000000
0.877924 0.900720 -1.083296 32.000000
0.893507 0.892946 -1.092319 33.000000
0.902834 0.880001 -1.095122 31.000000
0.923084 0.877337 -1.111022 33.000000
0.940643 0.871596 -1.123589 30.000000
0.983386 0.888210 -1.165876 28.000000
0.978803 0.861557 -1.152017 30.000000
0.990935 0.849867 -1.157884 32.000000
1.011611 0.845119 -1.173686 33.000000
1.035335 0.842231 -1.192823 34.000000
1.050403 0.831885 -1.201849 29.000000
1.068462 0.823530 -1.214247 32.000000
1.088691 0.817372 -1.230371 32.000000
1.112833 0.812558 -1.249347 28.000000
1.118219 0.794693 -1.248592 25.000000
1.156848 0.799893 -1.284863 31.000000
1.184396 0.795542 -1.307105 34.000000
1.202087 0.784808 -1.319678 31.000000
1.225997 0.777632 -1.339007 34.000000
1.246814 0.767973 -1.354881 33.000000
1.242572 0.742795 -1.343468 26.000000
1.262644 0.732843 -1.359690 20.000000
1.203802 0.677315 -1.290031 22.000000
1.150470 0.627056 -1.226832 30.000000
1.082761 0.571860 -1.150181 71.000000
0.975807 0.498559 -1.031656 100.000000
0.818040 0.404367 -0.861587 52.000000
0.763322 0.364774 -0.800937 82.000000
0.763870 0.352552 -0.798597 95.000000
0.757766 0.337441 -0.789284 98.000000
0.731476 0.314008 -0.759171 33.000000
0.771680 0.318957 -0.798010 75.000000
0.771498 0.306943 -0.795644 98.000000
0.774972 0.296133 -0.796381 98.000000
0.784720 0.287841 -0.804297 100.000000
0.784687 0.275673 -0.801429 100.000000
0.787542 0.264781 -0.802275 100.000000
0.769833 0.247261 -0.782192 100.000000
0.782776 0.239703 -0.793317 95.000000
0.781975 0.227845 -0.790461 95.000000
0.784157 0.217073 -0.791327 95.000000
0.790082 0.207070 -0.795300 95.000000
0.788660 0.195286 -0.792540 98.000000
0.790946 0.184341 -0.792851 98.000000
0.792851 0.173395 -0.793440 98.000000
0.791186 0.161734 -0.790428 98.000000
0.796419 0.151470 -0.794341 91.000000
0.794566 0.139836 -0.791186 95.000000
0.795842 0.128904 -0.791772 98.000000
0.804380 0.118947 -0.798988 98.000000
0.798463 0.106903 -0.792428 100.000000
0.799497 0.095902 -0.792807 98.000000
0.804316 0.085208 -0.796280 98.000000
0.801635 0.073798 -0.792979 98.000000
0.802152 0.062797 -0.793428 91.000000
0.788666 0.050812 -0.779419 86.000000
0.785755 0.039758 -0.775908 78.000000
0.793138 0.029229 -0.783134 94.000000
0.786193 0.018142 -0.776245 86.000000
0.814792 0.007583 -0.804414 98.000000
0.807711 -0.003637 -0.797389 94.000000
0.811199 -0.014821 -0.800832 98.000000
0.811095 -0.025988 -0.800658 98.000000
0.817999 -0.037447 -0.807436 98.000000
0.810330 -0.048289 -0.800414 98.000000
0.802532 -0.058935 -0.793324 91.000000
0.798569 -0.069660 -0.789333 95.000000
0.794233 -0.080288 -0.785620 98.000000
0.789497 -0.090852 -0.782113 95.000000
0.795616 -0.102619 -0.788750 98.000000
0.812209 -0.116095 -0.805786 98.000000
0.789619 -0.124004 -0.784561 100.000000
0.809541 -0.138451 -0.804944 100.000000
0.800901 -0.148310 -0.797596 95.000000
0.802737 -0.160072 -0.800640 98.000000
0.804452 -0.171861 -0.803610 95.000000
0.799138 -0.182156 -0.799522 95.000000
0.796867 -0.193233 -0.799173 98.000000
0.798346 -0.205096 -0.801891 95.000000
0.795924 -0.216187 -0.801399 95.000000
0.797235 -0.228089 -0.804002 98.000000
0.784341 -0.236050 -0.792900 86.000000
0.792018 -0.250154 -0.802628 76.000000
0.792686 -0.262211 -0.805288 98.000000
0.786449 -0.272007 -0.800971 95.000000
0.783206 -0.282969 -0.800337 95.000000
0.787001 -0.296334 -0.806235 98.000000
