x y z intensity
1.011029 1.408402 -1.410448 11.000000
1.028535 1.396104 -1.417910 9.000000
1.029733 1.361961 -1.403102 14.000000
1.035050 1.334197 -1.394481 13.000000
1.042431 1.309527 -1.388912 10.000000
1.049414 1.284873 -1.383223 19.000000
1.058597 1.263243 -1.380559 15.000000
1.057541 1.229960 -1.364983 10.000000
1.075075 1.220291 -1.375517 18.000000
1.083550 1.198517 -1.372552 10.000000
1.088089 1.174427 -1.366695 13.000000
1.090858 1.147106 -1.356955 10.000000
1.105338 1.134039 -1.363909 12.000000
1.102170 1.101479 -1.347412 15.000000
1.108269 1.080241 -1.344311 13.000000
1.111524 1.056439 -1.337829 13.000000
1.125461 1.042848 -1.344353 13.000000
1.128248 1.019050 -1.337620 9.000000
1.037869 0.913547 -1.221535 28.000000
0.725036 0.605708 -0.841197 40.000000
0.644916 0.524630 -0.743016 62.000000
0.650666 0.515306 -0.744479 87.000000
0.624005 0.480959 -0.709147 83.000000
0.602192 0.452116 -0.680559 47.000000
0.640178 0.467439 -0.718710 21.000000
0.660081 0.469104 -0.737040 21.000000
0.680142 0.470278 -0.755405 15.000000
0.706965 0.474858 -0.780210 9.000000
0.733581 0.478934 -0.805342 9.000000
0.726287 0.460673 -0.793235 9.000000
0.743714 0.458089 -0.808174 10.000000
0.736106 0.440035 -0.795877 9.000000
0.734169 0.426114 -0.790597 10.000000
0.732472 0.412123 -0.784940 9.000000
0.714637 0.389508 -0.762071 22.000000
0.696061 0.367624 -0.739402 34.000000
0.684037 0.349488 -0.723188 86.000000
0.687675 0.339926 -0.724282 98.000000
0.694525 0.331897 -0.728750 95.000000
0.694726 0.320640 -0.726311 95.000000
0.694894 0.309444 -0.723798 100.000000
0.704877 0.302589 -0.731564 75.000000
0.711549 0.294104 -0.735828 91.000000
0.707766 0.281587 -0.729917 100.000000
0.714322 0.272958 -0.734055 100.000000
0.723837 0.265508 -0.741894 100.000000
0.723542 0.254192 -0.738980 100.000000
0.729584 0.245295 -0.743233 100.000000
0.718510 0.230777 -0.730046 100.000000
0.720978 0.220779 -0.730687 98.000000
0.716523 0.208774 -0.724299 91.000000
0.715068 0.197948 -0.721607 95.000000
0.720776 0.188906 -0.725537 95.000000
0.719175 0.178080 -0.722712 100.000000
