x y z intensity
1.047218 1.458815 -1.460934 12.000000
1.044606 1.417917 -1.440065 9.000000
1.053030 1.392775 -1.434846 10.000000
1.053955 1.358566 -1.419951 12.000000
1.063998 1.336620 -1.417648 10.000000
1.085852 1.329487 -1.431251 19.000000
1.085677 1.295559 -1.415875 13.000000
1.099943 1.279274 -1.419711 14.000000
1.117977 1.268988 -1.430408 19.000000
1.111661 1.229610 -1.408161 9.000000
1.119103 1.207902 -1.405651 13.000000
1.122250 1.180117 -1.396004 12.000000
1.121204 1.150317 -1.383486 10.000000
1.134272 1.133561 -1.386656 14.000000
1.148815 1.119762 -1.393494 18.000000
1.157952 1.100565 -1.393708 15.000000
1.158563 1.073520 -1.383893 15.000000
1.175606 1.061826 -1.393767 10.000000
1.167251 1.027431 -1.373814 13.000000
1.172654 1.005717 -1.370218 19.000000
1.174959 0.981583 -1.363205 14.000000
1.182827 0.962213 -1.362751 16.000000
1.184621 0.938181 -1.355419 14.000000
1.197972 0.923351 -1.361428 17.000000
1.201417 0.902005 -1.357766 16.000000
1.211552 0.884640 -1.360176 10.000000
1.190557 0.846101 -1.329364 16.000000
1.193284 0.825086 -1.325332 22.000000
1.196638 0.803765 -1.320615 26.000000
1.186676 0.774747 -1.302759 26.000000
1.132883 0.718571 -1.237311 32.000000
1.024950 0.631316 -1.113787 94.000000
0.780146 0.466362 -0.843494 21.000000
0.702524 0.407748 -0.756519 81.000000
0.694256 0.390621 -0.743986 37.000000
0.727456 0.396495 -0.775740 69.000000
0.731508 0.386346 -0.777057 94.000000
0.739149 0.377646 -0.781454 91.000000
0.749599 0.370535 -0.789502 98.000000
0.753494 0.360077 -0.790625 93.000000
0.757285 0.349513 -0.791713 95.000000
0.747839 0.333020 -0.778944 95.000000
0.761400 0.326853 -0.790227 59.000000
0.761658 0.314815 -0.787646 95.000000
0.734600 0.292263 -0.757591 100.000000
0.741278 0.283258 -0.761755 98.000000
0.750896 0.275434 -0.769629 98.000000
0.747321 0.262546 -0.763266 98.000000
0.750040 0.252173 -0.764072 98.000000
0.752725 0.241766 -0.764810 98.000000
0.751877 0.230241 -0.762002 95.000000
0.757861 0.220819 -0.766086 79.000000
0.735795 0.203685 -0.742523 95.000000
0.748498 0.196172 -0.753442 95.000000
0.746969 0.184962 -0.750643 98.000000
0.738681 0.172159 -0.740460 95.000000
0.750938 0.164229 -0.751496 95.000000
0.749176 0.153146 -0.748458 95.000000
0.757826 0.144130 -0.755848 95.000000
0.769955 0.135505 -0.766680 98.000000
0.764149 0.123771 -0.760242 98.000000
0.776157 0.114774 -0.770953 98.000000
0.770198 0.103119 -0.764377 100.000000
0.767659 0.092083 -0.761235 100.000000
0.775970 0.082205 -0.768218 98.000000
0.773259 0.071185 -0.764909 98.000000
0.777307 0.060852 -0.768853 95.000000
0.767351 0.049438 -0.758353 64.000000
