x y z intensity
0.472718 0.658515 -0.659471 87.000000
0.482126 0.654423 -0.664645 91.000000
0.468272 0.619353 -0.638062 32.000000
0.460810 0.593992 -0.620831 95.000000
0.462504 0.581008 -0.616230 98.000000
0.463977 0.568080 -0.611564 98.000000
0.470214 0.561115 -0.613225 98.000000
0.471404 0.548260 -0.608448 95.000000
0.884197 0.929789 -1.099882 89.000000
1.033940 1.060788 -1.275809 28.000000
1.123572 1.122867 -1.373575 20.000000
1.143409 1.114493 -1.386936 16.000000
1.157952 1.100565 -1.393708 14.000000
1.166839 1.081188 -1.393778 14.000000
1.167249 1.054277 -1.383859 9.000000
1.170063 1.029907 -1.377124 10.000000
1.169814 1.003282 -1.366900 14.000000
1.177825 0.983977 -1.366530 15.000000
1.185719 0.964566 -1.366083 15.000000
1.181703 0.935870 -1.352080 13.000000
1.200915 0.925620 -1.364773 17.000000
1.201417 0.902005 -1.357766 14.000000
1.211552 0.884640 -1.360176 10.000000
1.214670 0.863238 -1.356288 13.000000
1.229720 0.850280 -1.365800 18.000000
1.233363 0.828433 -1.361146 20.000000
1.235992 0.806944 -1.356899 17.000000
1.238412 0.785507 -1.352567 23.000000
1.231190 0.758349 -1.337902 21.000000
1.236280 0.739034 -1.336665 20.000000
1.256315 0.729170 -1.352875 11.000000
1.235649 0.695234 -1.324159 19.000000
1.208153 0.658496 -1.288344 22.000000
1.147211 0.605900 -1.218644 29.000000
0.749599 0.370535 -0.789502 43.000000
0.756770 0.361642 -0.794062 88.000000
0.763870 0.352552 -0.798597 94.000000
0.761075 0.338914 -0.792731 95.000000
0.771374 0.331135 -0.800580 48.000000
0.781702 0.323100 -0.808374 95.000000
0.778207 0.309612 -0.802562 103.000000
0.785081 0.299996 -0.806768 100.000000
0.788103 0.289081 -0.807764 100.000000
0.791480 0.278060 -0.808368 100.000000
0.790951 0.265928 -0.805748 98.000000
0.793783 0.254954 -0.806527 100.000000
0.789642 0.241806 -0.800276 95.000000
0.785420 0.228849 -0.793943 95.000000
0.787612 0.218029 -0.794813 98.000000
0.793547 0.207979 -0.798788 95.000000
0.792134 0.196146 -0.796031 98.000000
0.790946 0.184341 -0.792851 98.000000
0.796344 0.174159 -0.796935 98.000000
0.801689 0.163881 -0.800920 98.000000
0.806944 0.153471 -0.804839 95.000000
0.808629 0.142311 -0.805189 95.000000
0.809927 0.131186 -0.805786 98.000000
0.814964 0.120512 -0.809501 98.000000
0.812595 0.108795 -0.806453 100.000000
0.810110 0.097175 -0.803331 98.000000
0.814946 0.086334 -0.806804 95.000000
0.819370 0.075430 -0.810523 98.000000
0.812800 0.063631 -0.803960 89.000000
0.802877 0.051727 -0.793462 83.000000
0.803532 0.040658 -0.793462 89.000000
0.803808 0.029622 -0.793669 93.000000
0.800423 0.018471 -0.790295 88.000000
0.814792 0.007583 -0.804414 80.000000
0.807711 -0.003637 -0.797389 81.000000
0.828989 -0.015146 -0.818394 100.000000
0.825325 -0.026444 -0.814705 98.000000
0.828669 -0.037935 -0.817967 95.000000
0.828100 -0.049348 -0.817967 100.000000
0.820287 -0.060238 -0.810876 86.000000
0.830511 -0.072447 -0.820907 89.000000
0.822599 -0.083156 -0.813678 98.000000
0.831981 -0.095741 -0.824200 98.000000
0.827441 -0.106724 -0.820300 98.000000
0.826334 -0.118114 -0.819800 98.000000
0.821345 -0.128986 -0.816083 98.000000
0.823620 -0.140858 -0.818943 98.000000
0.811440 -0.150261 -0.808091 95.000000
0.823769 -0.164266 -0.821618 95.000000
0.821941 -0.175597 -0.821080 95.000000
0.820076 -0.186929 -0.820470 98.000000
0.817745 -0.198296 -0.820112 98.000000
0.819172 -0.210447 -0.822809 86.000000
0.816688 -0.221826 -0.822305 98.000000
0.814491 -0.233026 -0.821405 95.000000
0.811862 -0.244333 -0.820721 77.000000
0.798875 -0.252319 -0.809577 68.000000
0.806352 -0.266732 -0.819172 98.000000
0.803472 -0.277895 -0.818308 95.000000
0.800159 -0.289094 -0.817660 95.000000
0.803889 -0.302693 -0.823536 98.000000
0.803729 -0.315234 -0.826230 98.000000
0.793821 -0.323589 -0.818159 95.000000
0.793539 -0.336031 -0.820667 76.000000
0.796435 -0.350024 -0.826575 84.000000
0.799195 -0.364130 -0.832392 95.000000
0.788672 -0.372144 -0.824341 98.000000
0.781374 -0.381497 -0.819703 95.000000
0.783831 -0.395648 -0.825275 95.000000
0.782504 -0.408368 -0.827665 95.000000
0.778258 -0.419224 -0.826262 95.000000
0.786280 -0.437302 -0.838756 52.000000
0.778186 -0.446552 -0.834075 40.000000
0.776820 -0.459185 -0.835865 100.000000
0.774890 -0.472020 -0.837869 98.000000
0.772843 -0.484867 -0.839785 95.000000
0.767583 -0.495728 -0.838271 95.000000
0.786836 -0.522812 -0.863672 85.000000
0.774643 -0.529890 -0.855607 95.000000
0.775117 -0.545039 -0.860547 62.000000
0.772380 -0.558070 -0.862104 36.000000
0.771989 -0.573558 -0.867233 90.000000
0.760145 -0.579874 -0.858575 75.000000
0.759500 -0.595333 -0.863597 87.000000
0.749994 -0.603861 -0.858491 91.000000
0.749063 -0.619373 -0.863321 83.000000
0.747949 -0.634931 -0.868083 91.000000
0.743861 -0.648109 -0.869430 42.000000
0.756450 -0.676277 -0.890511 36.000000
0.762989 -0.699837 -0.904819 77.000000
0.752773 -0.708204 -0.899313 71.000000
0.750645 -0.724239 -0.903561 81.000000
0.742980 -0.734978 -0.901203 76.000000
0.737218 -0.748630 -0.902439 72.000000
0.726766 -0.756456 -0.896697 70.000000
0.728540 -0.778271 -0.907471 35.000000
0.725654 -0.794373 -0.911328 28.000000
0.714163 -0.802232 -0.905781 80.000000
0.716022 -0.824089 -0.915891 52.000000
0.709327 -0.837585 -0.916617 61.000000
0.712314 -0.862929 -0.930067 69.000000
0.710057 -0.882502 -0.936963 39.000000
0.707469 -0.902203 -0.943805 35.000000
0.685845 -0.897396 -0.925154 28.000000
0.689934 -0.926294 -0.941345 29.000000
0.686684 -0.946091 -0.947882 36.000000
0.474948 0.670862 -0.653366 98.000000
0.482126 0.663684 -0.655417 95.000000
0.472962 0.634561 -0.635490 79.000000
0.459098 0.599442 -0.608944 72.000000
0.467981 0.595628 -0.613868 52.000000
0.469012 0.582834 -0.609545 95.000000
0.472881 0.572871 -0.608115 98.000000
0.471635 0.556999 -0.600257 98.000000
1.152554 1.169942 -1.387514 22.000000
1.161984 1.150725 -1.388018 25.000000
1.177815 1.136282 -1.394337 25.000000
1.178624 1.109007 -1.384877 18.000000
1.184736 1.086979 -1.381739 16.000000
1.179324 1.054886 -1.365439 10.000000
1.176372 1.025568 -1.352194 13.000000
1.193150 1.013627 -1.361845 20.000000
1.201204 0.994128 -1.361470 22.000000
1.203224 0.969866 -1.354489 21.000000
1.207915 0.948047 -1.350581 23.000000
1.218338 0.930822 -1.353202 20.000000
1.221820 0.909254 -1.349628 17.000000
1.222862 0.885229 -1.342146 10.000000
1.238084 0.872389 -1.351640 19.000000
1.247996 0.854734 -1.353808 25.000000
1.241438 0.826952 -1.339767 21.000000
1.253244 0.811533 -1.345623 24.000000
1.268171 0.797939 -1.354783 26.000000
1.260939 0.770469 -1.340330 24.000000
1.266038 0.750926 -1.339157 24.000000
1.242220 0.714712 -1.307523 10.000000
1.233927 0.688262 -1.292602 24.000000
1.231857 0.665707 -1.284274 28.000000
0.765300 0.362700 -0.785356 91.000000
0.769107 0.352090 -0.786449 91.000000
0.779570 0.344402 -0.794289 80.000000
0.783303 0.333558 -0.795213 98.000000
0.783552 0.321329 -0.792686 100.000000
0.790520 0.311764 -0.796920 100.000000
0.786837 0.298337 -0.791137 103.000000
0.786800 0.286166 -0.788379 100.000000
0.793146 0.276519 -0.792723 103.000000
0.799482 0.266777 -0.797040 103.000000
0.795398 0.253563 -0.790941 100.000000
0.794630 0.241523 -0.788166 71.000000
0.793770 0.229579 -0.785385 100.000000
0.792817 0.217662 -0.782495 98.000000
0.798779 0.207662 -0.786394 98.000000
0.804344 0.197566 -0.790577 100.000000
0.806336 0.186559 -0.791241 100.000000
0.812103 0.176213 -0.794942 100.000000
0.806851 0.163652 -0.788551 98.000000
0.801497 0.151251 -0.782048 64.000000
0.806706 0.140871 -0.785854 100.000000
0.818666 0.131572 -0.796837 100.000000
0.813078 0.119295 -0.790117 98.000000
0.814191 0.108162 -0.790569 100.000000
0.815235 0.097029 -0.790917 100.000000
0.816522 0.085862 -0.790917 103.000000
0.817392 0.074694 -0.791125 98.000000
0.807152 0.062725 -0.781162 54.000000
0.804282 0.051440 -0.777759 95.000000
0.804932 0.040435 -0.777725 98.000000
0.808800 0.029594 -0.781403 98.000000
0.808971 0.018539 -0.781574 98.000000
0.809074 0.007484 -0.781643 100.000000
0.830685 -0.003666 -0.802451 100.000000
0.809074 -0.014626 -0.781540 98.000000
0.834139 -0.026479 -0.805677 98.000000
0.833927 -0.037878 -0.805430 103.000000
0.829733 -0.049065 -0.801958 98.000000
0.832653 -0.060641 -0.805359 66.000000
0.839402 -0.072625 -0.811802 98.000000
0.827795 -0.083009 -0.801183 100.000000
0.830175 -0.094767 -0.804651 100.000000
0.829183 -0.106095 -0.804261 100.000000
0.831691 -0.117929 -0.807230 100.000000
0.826635 -0.128751 -0.803553 100.000000
0.828989 -0.140612 -0.806377 95.000000
0.830904 -0.152606 -0.809481 78.000000
0.836241 -0.165397 -0.815931 98.000000
0.837977 -0.177562 -0.818846 98.000000
0.832208 -0.188300 -0.815103 98.000000
0.833746 -0.200526 -0.817834 98.000000
0.835193 -0.212811 -0.820522 95.000000
0.825726 -0.222402 -0.813123 98.000000
0.830146 -0.235727 -0.819396 98.000000
0.799680 -0.238823 -0.791222 75.000000
0.814339 -0.255238 -0.807669 93.000000
0.811578 -0.266426 -0.806844 100.000000
0.805268 -0.276361 -0.802554 98.000000
0.809197 -0.289850 -0.808441 98.000000
0.809227 -0.302325 -0.811143 95.000000
0.809518 -0.314714 -0.813477 98.000000
0.802573 -0.324530 -0.809191 98.000000
0.802291 -0.337012 -0.811697 70.000000
0.808616 -0.352512 -0.820899 98.000000
0.804755 -0.363655 -0.819832 98.000000
0.800857 -0.374761 -0.818692 95.000000
0.800118 -0.387393 -0.820871 98.000000
0.802598 -0.401690 -0.826352 98.000000
0.791441 -0.409512 -0.818545 98.000000
0.787194 -0.420406 -0.817141 98.000000
0.782468 -0.431373 -0.815960 73.000000
0.790484 -0.449614 -0.828208 98.000000
0.791877 -0.464357 -0.833617 100.000000
0.786769 -0.475406 -0.832217 98.000000
0.784736 -0.488342 -0.834129 98.000000
0.779493 -0.499246 -0.832571 98.000000
0.780354 -0.514210 -0.837688 100.000000
0.774877 -0.525049 -0.836003 98.000000
0.784180 -0.546719 -0.851250 45.000000
0.790601 -0.566330 -0.862686 91.000000
0.784213 -0.577518 -0.861139 95.000000
0.778262 -0.588388 -0.859155 92.000000
0.771677 -0.599417 -0.857449 95.000000
0.765051 -0.610327 -0.855704 88.000000
0.764140 -0.625936 -0.860447 98.000000
0.748632 -0.629479 -0.848737 79.000000
0.750388 -0.647524 -0.856609 44.000000
0.777398 -0.688303 -0.893753 67.000000
0.764419 -0.694194 -0.885071 85.000000
0.756990 -0.705027 -0.882913 95.000000
0.757786 -0.723671 -0.890343 92.000000
0.749477 -0.734665 -0.888371 95.000000
0.747193 -0.750701 -0.892422 98.000000
0.743989 -0.767105 -0.896737 74.000000
0.733390 -0.774876 -0.890978 77.000000
0.729907 -0.791217 -0.895123 65.000000
0.732101 -0.813007 -0.905224 71.000000
0.720498 -0.820854 -0.899662 83.000000
0.721485 -0.843141 -0.909881 77.000000
