x y z intensity
0.502122 0.699475 -0.700491 44.000000
0.516563 0.701168 -0.712120 83.000000
0.498558 0.659411 -0.679330 26.000000
0.484441 0.624453 -0.652668 69.000000
0.488864 0.614123 -0.651352 95.000000
0.493127 0.603771 -0.649987 89.000000
0.504680 0.602244 -0.658173 98.000000
1.051905 1.135372 -1.321247 26.000000
1.161489 1.221379 -1.444816 15.000000
1.203178 1.234421 -1.484637 12.000000
1.209177 1.208419 -1.478228 15.000000
1.219096 1.188265 -1.478743 16.000000
1.223496 1.162861 -1.472598 12.000000
1.222008 1.132308 -1.459677 13.000000
1.231322 1.112149 -1.459822 10.000000
1.231942 1.084373 -1.449953 11.000000
1.243638 1.066596 -1.453161 19.000000
1.249468 1.043829 -1.449652 17.000000
1.255127 1.021028 -1.446048 16.000000
1.257566 0.995951 -1.438881 12.000000
1.262727 0.973262 -1.435019 14.000000
1.263712 0.948776 -1.428169 12.000000
1.262407 0.921773 -1.417270 10.000000
1.277965 0.908220 -1.426963 10.000000
1.275265 0.881772 -1.416385 14.000000
1.285391 0.863379 -1.418564 19.000000
1.282227 0.837129 -1.407656 18.000000
1.281865 0.813069 -1.400026 21.000000
1.290562 0.794919 -1.402420 21.000000
1.296050 0.774763 -1.401288 21.000000
1.297453 0.753047 -1.397176 11.000000
1.312081 0.738238 -1.406066 15.000000
1.297884 0.707403 -1.384030 17.000000
1.292224 0.682488 -1.372686 18.000000
1.296753 0.662537 -1.370972 24.000000
1.261281 0.623466 -1.328423 26.000000
1.136793 0.543246 -1.192813 32.000000
0.771002 0.343335 -0.803071 89.000000
0.778024 0.333990 -0.807481 35.000000
0.808427 0.334146 -0.836011 95.000000
0.808396 0.321623 -0.833696 103.000000
0.812036 0.310296 -0.834468 98.000000
0.818545 0.300247 -0.838965 98.000000
0.815259 0.286414 -0.832654 100.000000
0.818225 0.275098 -0.833533 98.000000
0.810890 0.260448 -0.823909 98.000000
0.810242 0.248114 -0.821153 95.000000
0.816423 0.237882 -0.825283 86.000000
0.811793 0.224723 -0.819215 98.000000
0.817804 0.214336 -0.823206 95.000000
0.816454 0.202168 -0.820470 100.000000
0.815337 0.190025 -0.817300 95.000000
0.817300 0.178742 -0.817907 98.000000
0.815692 0.166743 -0.814910 98.000000
0.817470 0.155473 -0.815336 87.000000
