x y z intensity
1.013291 1.411553 -1.413604 31.000000
1.037719 1.408569 -1.430570 18.000000
1.032062 1.365042 -1.406276 30.000000
1.039777 1.340289 -1.400848 26.000000
1.063998 1.336620 -1.417648 24.000000
1.059131 1.296770 -1.396030 27.000000
1.065982 1.272056 -1.390191 20.000000
1.077495 1.253166 -1.390737 19.000000
1.085170 1.231749 -1.388432 21.000000
1.088661 1.204170 -1.379027 10.000000
0.651376 0.684963 -0.810268 17.000000
0.639932 0.656549 -0.789631 77.000000
0.639366 0.638965 -0.781629 49.000000
0.648743 0.632336 -0.786914 93.000000
0.658175 0.625557 -0.792179 81.000000
0.662036 0.613440 -0.790796 73.000000
0.663020 0.598849 -0.786058 95.000000
0.655348 0.576847 -0.771322 29.000000
0.655891 0.562520 -0.766393 95.000000
0.647660 0.541067 -0.751425 98.000000
0.653592 0.531688 -0.753011 89.000000
0.662337 0.524550 -0.757833 95.000000
0.662270 0.510452 -0.752632 95.000000
0.667454 0.501114 -0.754314 95.000000
0.673084 0.491467 -0.755653 95.000000
0.666109 0.473388 -0.743771 41.000000
0.677105 0.468179 -0.752033 98.000000
0.676361 0.454302 -0.746435 98.000000
0.684265 0.446737 -0.751201 98.000000
0.692145 0.439018 -0.755946 100.000000
0.696841 0.429218 -0.757239 98.000000
0.704648 0.421230 -0.761865 98.000000
0.708853 0.411421 -0.763335 98.000000
0.694256 0.390621 -0.743986 74.000000
0.701819 0.382522 -0.748402 71.000000
0.686393 0.362519 -0.729132 95.000000
0.690521 0.352801 -0.730042 95.000000
0.694194 0.343148 -0.731147 98.000000
0.701077 0.335028 -0.735625 98.000000
0.698019 0.322160 -0.729753 98.000000
0.698203 0.310917 -0.727244 98.000000
0.714851 0.306871 -0.741917 95.000000
0.718230 0.296865 -0.742737 95.000000
0.707766 0.281587 -0.729917 100.000000
0.717692 0.274245 -0.737518 100.000000
0.723837 0.265508 -0.741894 100.000000
0.723542 0.254192 -0.738980 100.000000
0.726175 0.244149 -0.739760 100.000000
0.718510 0.230777 -0.730046 100.000000
0.720978 0.220779 -0.730687 95.000000
0.726858 0.211786 -0.734746 90.000000
0.725432 0.200816 -0.732065 98.000000
0.731172 0.191631 -0.736002 95.000000
0.726123 0.179801 -0.729695 100.000000
0.728228 0.169723 -0.729982 98.000000
0.726489 0.158882 -0.727029 95.000000
0.731672 0.149568 -0.730971 98.000000
0.740284 0.140793 -0.738352 98.000000
0.752376 0.132411 -0.749176 95.000000
0.750063 0.121490 -0.746228 98.000000
0.762045 0.112687 -0.756936 100.000000
0.738401 0.098862 -0.732820 103.000000
0.760583 0.091235 -0.754219 98.000000
0.736995 0.078076 -0.729631 98.000000
0.737788 0.067920 -0.729822 98.000000
0.748912 0.058629 -0.740767 95.000000
0.746036 0.048065 -0.737288 53.000000
0.750200 0.037959 -0.740799 92.000000
0.754014 0.027787 -0.744504 95.000000
0.739946 0.017075 -0.730583 95.000000
0.750747 0.006987 -0.741185 89.000000
0.750780 -0.003381 -0.741185 100.000000
0.750715 -0.013716 -0.741121 100.000000
0.750619 -0.024050 -0.740960 98.000000
0.750425 -0.034353 -0.740734 98.000000
0.749910 -0.044688 -0.740734 100.000000
0.742164 -0.054501 -0.733649 80.000000
0.752429 -0.065635 -0.743727 95.000000
0.755231 -0.076345 -0.747041 98.000000
0.747013 -0.085963 -0.740026 91.000000
0.749647 -0.096690 -0.743177 98.000000
0.748644 -0.107009 -0.742725 98.000000
0.747318 -0.117361 -0.742530 100.000000
0.749706 -0.128217 -0.745448 98.000000
0.734160 -0.135951 -0.731130 72.000000
0.743145 -0.148189 -0.741204 100.000000
0.741495 -0.158411 -0.740719 98.000000
0.729344 -0.166247 -0.729695 100.000000
0.730751 -0.177200 -0.732866 100.000000
0.728925 -0.187262 -0.732161 98.000000
0.726714 -0.197388 -0.731712 98.000000
0.724759 -0.207353 -0.730911 98.000000
0.712099 -0.214309 -0.719869 85.000000
0.744017 -0.234993 -0.753984 87.000000
0.741434 -0.245257 -0.753222 95.000000
0.742190 -0.256700 -0.755895 98.000000
0.745911 -0.269495 -0.762225 98.000000
0.739713 -0.278529 -0.757792 95.000000
0.743198 -0.291492 -0.764004 95.000000
0.733531 -0.299013 -0.756021 95.000000
0.723521 -0.306381 -0.748255 85.000000
0.716792 -0.315022 -0.743917 95.000000
0.729844 -0.332532 -0.760160 98.000000
0.726235 -0.342682 -0.759081 98.000000
0.696371 -0.339995 -0.730530 95.000000
0.715530 -0.361172 -0.753363 98.000000
0.714601 -0.372931 -0.755843 95.000000
0.710723 -0.382845 -0.754562 95.000000
0.703177 -0.391083 -0.750107 59.000000
0.679722 -0.390050 -0.728539 72.000000
0.666297 -0.393854 -0.716941 98.000000
0.944003 -0.609665 -1.030939 49.000000
1.131077 -0.751543 -1.241528 21.000000
1.161964 -0.794835 -1.283410 18.000000
1.186898 -0.834591 -1.317712 16.000000
1.178105 -0.851219 -1.314961 10.000000
1.177357 -0.874731 -1.322613 10.000000
1.191979 -0.909296 -1.346326 16.000000
1.178838 -0.924031 -1.340409 16.000000
1.171502 -0.943240 -1.340976 15.000000
1.166810 -0.964792 -1.344788 13.000000
1.167600 -0.991171 -1.355137 12.000000
1.159631 -1.010361 -1.355385 10.000000
1.140278 -1.019425 -1.342362 9.000000
1.143096 -1.048483 -1.355584 10.000000
1.140148 -1.072645 -1.362099 16.000000
1.142285 -1.102103 -1.374985 16.000000
1.119853 -1.107793 -1.358335 12.000000
1.109820 -1.126999 -1.358546 11.000000
1.113847 -1.159351 -1.374285 10.000000
1.118829 -1.195203 -1.393616 10.000000
1.106494 -1.211278 -1.389613 9.000000
1.097930 -1.233325 -1.392517 10.000000
1.095389 -1.260712 -1.401153 13.000000
1.083831 -1.279807 -1.400566 11.000000
1.069695 -1.295877 -1.396698 12.000000
1.065086 -1.323754 -1.405445 12.000000
1.062394 -1.354823 -1.417297 10.000000
1.052256 -1.376826 -1.419414 10.000000
1.032586 -1.386332 -1.408858 9.000000
1.028885 -1.417564 -1.420248 9.000000
0.986083 1.392837 -1.356513 35.000000
1.005577 1.384255 -1.367012 32.000000
1.015821 1.362899 -1.364895 33.000000
1.024688 1.337929 -1.359137 30.000000
1.041558 1.325655 -1.366250 47.000000
1.061960 1.319682 -1.380161 35.000000
1.078759 1.306862 -1.387263 30.000000
1.088004 1.284928 -1.384720 33.000000
1.099580 1.265852 -1.385328 27.000000
0.641151 0.667885 -0.779070 57.000000
0.648647 0.658432 -0.780880 67.000000
0.658187 0.651809 -0.786220 98.000000
0.660124 0.636847 -0.781477 82.000000
0.666780 0.627396 -0.783463 98.000000
0.665017 0.610144 -0.775599 91.000000
