x y z intensity
0.990673 1.380045 -1.382050 13.000000
1.000985 1.358708 -1.379930 9.000000
1.001776 1.324985 -1.365008 16.000000
1.001966 1.291551 -1.349908 16.000000
1.008881 1.267381 -1.344212 13.000000
1.025122 1.255131 -1.351204 22.000000
1.024131 1.222114 -1.335610 11.000000
1.037588 1.206753 -1.339229 12.000000
1.047315 1.188781 -1.339999 17.000000
1.052883 1.164597 -1.333707 10.000000
1.054490 1.138162 -1.324493 15.000000
1.062083 1.116847 -1.321160 13.000000
1.068317 1.096057 -1.318228 12.000000
1.083444 1.082764 -1.324518 19.000000
1.081238 1.053894 -1.311523 16.000000
1.081483 1.027886 -1.301671 13.000000
1.070292 0.991728 -1.278453 16.000000
1.047460 0.946082 -1.241840 10.000000
0.711601 0.626362 -0.837530 21.000000
0.618980 0.530863 -0.723263 59.000000
0.627600 0.524309 -0.728151 95.000000
0.604428 0.491693 -0.696369 76.000000
0.589393 0.466780 -0.674371 40.000000
0.618118 0.476422 -0.702457 27.000000
0.649655 0.487751 -0.734199 37.000000
0.679067 0.495835 -0.762370 52.000000
0.669123 0.475530 -0.747136 9.000000
0.686214 0.474477 -0.762150 9.000000
0.697784 0.468691 -0.770078 9.000000
0.690430 0.450762 -0.757969 8.000000
0.692145 0.439018 -0.755946 9.000000
0.709340 0.436917 -0.770822 9.000000
0.720377 0.430633 -0.778871 10.000000
0.677207 0.393054 -0.729257 17.000000
0.662410 0.372703 -0.709858 24.000000
0.656953 0.358068 -0.700558 48.000000
0.660613 0.348903 -0.701747 87.000000
0.671070 0.342863 -0.709478 95.000000
0.677898 0.335093 -0.713984 98.000000
0.681421 0.325635 -0.715000 98.000000
0.688141 0.317601 -0.719426 100.000000
0.684967 0.305023 -0.713458 98.000000
0.691577 0.296880 -0.717761 74.000000
0.691506 0.285819 -0.715100 94.000000
0.687640 0.273579 -0.709161 100.000000
0.697475 0.266520 -0.716743 103.000000
0.700160 0.256823 -0.717627 100.000000
0.699764 0.245838 -0.714694 100.000000
0.702310 0.236125 -0.715449 100.000000
0.694560 0.223084 -0.705711 100.000000
0.703812 0.215523 -0.713290 100.000000
0.699299 0.203756 -0.706888 95.000000
0.694342 0.192210 -0.700691 95.000000
0.706915 0.185273 -0.711584 95.000000
0.701803 0.173779 -0.705255 100.000000
0.703838 0.164039 -0.705533 98.000000
0.705533 0.154299 -0.706057 98.000000
0.703666 0.143843 -0.702991 98.000000
0.712216 0.135455 -0.710357 95.000000
0.713703 0.125605 -0.710667 91.000000
0.714849 0.115786 -0.711194 98.000000
0.726765 0.107470 -0.721893 98.000000
0.720736 0.096497 -0.715289 98.000000
0.718132 0.086142 -0.712123 100.000000
0.729908 0.077325 -0.722616 98.000000
0.723600 0.066614 -0.715787 98.000000
0.724067 0.056684 -0.716191 95.000000
0.703405 0.045319 -0.695157 52.000000
0.728867 0.036880 -0.719733 75.000000
0.736231 0.027132 -0.726945 98.000000
0.711487 0.016418 -0.702484 88.000000
0.729399 0.006788 -0.720109 95.000000
0.732989 -0.003300 -0.723621 98.000000
0.732926 -0.013391 -0.723559 98.000000
0.732831 -0.023481 -0.723401 98.000000
0.732643 -0.033539 -0.723181 98.000000
0.732140 -0.043629 -0.723181 98.000000
0.720858 -0.052937 -0.712588 43.000000
0.731134 -0.063778 -0.722678 95.000000
0.730411 -0.073836 -0.722490 98.000000
0.725771 -0.083519 -0.718983 95.000000
0.728431 -0.093954 -0.722144 98.000000
0.727456 -0.103981 -0.721704 100.000000
0.726168 -0.114039 -0.721515 98.000000
0.725067 -0.124004 -0.720950 95.000000
0.716596 -0.132698 -0.713639 74.000000
0.725618 -0.144694 -0.723723 98.000000
0.727505 -0.155422 -0.726743 95.000000
0.722365 -0.164656 -0.722712 100.000000
0.723791 -0.175513 -0.725886 103.000000
0.721982 -0.185479 -0.725188 98.000000
0.712871 -0.193628 -0.717775 95.000000
0.710954 -0.203404 -0.716989 95.000000
0.705219 -0.212238 -0.712914 69.000000
0.709731 -0.224164 -0.719238 95.000000
0.707267 -0.233955 -0.718511 95.000000
0.708144 -0.244924 -0.721221 91.000000
0.705225 -0.254795 -0.720649 95.000000
0.709314 -0.267082 -0.726649 98.000000
0.712931 -0.279622 -0.732891 92.000000
0.716784 -0.292186 -0.738760 95.000000
0.686845 -0.290851 -0.710325 79.000000
0.703518 -0.309188 -0.730141 90.000000
0.700121 -0.318990 -0.729203 92.000000
0.696660 -0.328727 -0.728168 98.000000
0.689832 -0.336803 -0.723670 95.000000
0.686259 -0.346397 -0.722544 98.000000
0.682266 -0.356056 -0.721642 95.000000
0.684996 -0.368986 -0.727247 98.000000
0.690392 -0.383972 -0.736468 55.000000
0.692427 -0.397340 -0.742157 81.000000
0.678928 -0.401321 -0.730533 98.000000
0.680774 -0.414689 -0.736103 98.000000
0.682470 -0.428169 -0.741584 98.000000
0.677825 -0.437759 -0.740248 98.000000
0.676187 -0.449292 -0.742218 95.000000
0.664851 -0.454788 -0.734340 95.000000
0.660061 -0.464135 -0.732809 57.000000
0.685225 -0.495097 -0.764824 60.000000
0.676608 -0.502693 -0.760084 95.000000
0.671412 -0.512184 -0.758352 88.000000
0.668595 -0.524077 -0.760232 98.000000
0.659878 -0.531304 -0.755339 95.000000
0.656871 -0.543142 -0.757066 86.000000
0.653742 -0.554959 -0.758744 94.000000
0.647696 -0.564323 -0.757032 42.000000
0.630375 -0.563564 -0.742092 49.000000
0.621489 -0.570049 -0.737017 85.000000
0.618153 -0.581554 -0.738487 91.000000
0.895291 -0.931866 -1.104626 34.000000
1.006946 -1.075682 -1.254254 22.000000
1.052456 -1.152122 -1.321748 10.000000
1.080139 -1.213341 -1.369953 10.000000
1.085339 -1.249145 -1.388298 12.000000
1.076391 -1.271021 -1.390951 12.000000
1.055008 -1.278084 -1.377522 10.000000
1.055425 -1.311747 -1.392697 12.000000
1.052866 -1.342672 -1.404586 10.000000
1.040512 -1.361460 -1.403572 11.000000
1.039532 -1.395657 -1.418335 9.000000
1.022041 -1.408135 -1.410801 9.000000
0.997391 1.408810 -1.372069 17.000000
1.010168 1.390576 -1.373254 11.000000
1.011161 1.356647 -1.358634 12.000000
1.024688 1.337929 -1.359137 11.000000
1.022358 1.301219 -1.341065 23.000000
1.025508 1.274384 -1.332787 18.000000
1.044279 1.265090 -1.342921 18.000000
1.053068 1.243669 -1.340257 27.000000
1.051553 1.210562 -1.324819 17.000000
1.067506 1.197882 -1.331440 15.000000
1.058884 1.159861 -1.309766 11.000000
1.064003 1.135804 -1.303380 10.000000
1.080948 1.126022 -1.313474 20.000000
1.090906 1.107363 -1.313298 16.000000
1.096978 1.086349 -1.310367 20.000000
1.106598 1.067577 -1.310029 24.000000
1.092856 1.028304 -1.284099 19.000000
0.635388 0.539787 -0.725224 80.000000
0.632518 0.523478 -0.716909 100.000000
0.605434 0.475182 -0.676942 32.000000
0.646404 0.493859 -0.717958 48.000000
0.663445 0.493723 -0.732845 51.000000
0.714345 0.517114 -0.784026 16.000000
0.704427 0.496360 -0.769037 10.000000
0.710067 0.486314 -0.770270 10.000000
0.699663 0.466063 -0.755081 9.000000
0.698325 0.452197 -0.749800 8.000000
0.709423 0.446372 -0.757874 9.000000
0.733177 0.447992 -0.779340 10.000000
0.696639 0.413198 -0.736873 10.000000
0.681941 0.392355 -0.717789 33.000000
0.666900 0.371985 -0.698612 36.000000
0.677521 0.366139 -0.706351 95.000000
0.687772 0.360177 -0.714334 103.000000
0.685271 0.347196 -0.708424 100.000000
0.688875 0.337724 -0.709540 100.000000
0.689102 0.326587 -0.707161 98.000000
0.692529 0.317034 -0.708144 98.000000
0.699271 0.308927 -0.712474 95.000000
0.699258 0.297769 -0.709890 75.000000
0.692363 0.283933 -0.700433 100.000000
0.705701 0.278313 -0.711414 100.000000
0.694869 0.263467 -0.698666 103.000000
0.697857 0.253817 -0.699258 103.000000
0.703874 0.245396 -0.703499 103.000000
0.702993 0.234580 -0.700845 105.000000
0.708942 0.226002 -0.704969 103.000000
0.704410 0.214102 -0.698680 89.000000
0.696289 0.201385 -0.688934 100.000000
0.705502 0.193690 -0.696317 100.000000
0.707690 0.183981 -0.696718 98.000000
0.709509 0.174272 -0.697365 98.000000
0.714787 0.165377 -0.701406 103.000000
0.716769 0.155527 -0.701622 100.000000
